created_at,entry_id,field1,field2
2024-10-14 12:42:21 UTC,862,22.40000,69.00000
2024-10-14 12:52:22 UTC,863,22.40000,69.00000
2024-10-14 13:02:23 UTC,864,22.20000,69.00000
2024-10-14 13:12:23 UTC,865,22.20000,69.00000
2024-10-14 13:22:24 UTC,866,22.20000,69.00000
2024-10-14 13:32:25 UTC,867,22.20000,69.00000
2024-10-14 13:42:25 UTC,868,22.20000,69.00000
2024-10-14 13:52:26 UTC,869,22.20000,69.00000
2024-10-14 14:02:27 UTC,870,22.20000,69.00000
2024-10-14 14:12:27 UTC,871,22.20000,69.00000
2024-10-14 14:22:28 UTC,872,22.20000,69.00000
2024-10-14 14:32:29 UTC,873,22.20000,69.00000
2024-10-14 14:42:30 UTC,874,22.20000,69.00000
2024-10-14 14:52:30 UTC,875,22.20000,69.00000
2024-10-14 15:02:31 UTC,876,22.20000,69.00000
2024-10-14 15:12:32 UTC,877,22.40000,69.00000
2024-10-14 15:22:32 UTC,878,22.50000,69.00000
2024-10-14 15:32:33 UTC,879,22.50000,69.00000
2024-10-14 15:42:34 UTC,880,22.50000,69.00000
2024-10-14 15:52:34 UTC,881,22.50000,70.00000
2024-10-14 16:02:35 UTC,882,22.50000,70.00000
2024-10-14 16:12:36 UTC,883,22.50000,71.00000
2024-10-14 16:22:36 UTC,884,22.60000,70.00000
2024-10-14 16:32:37 UTC,885,22.60000,70.00000
2024-10-14 16:42:38 UTC,886,22.60000,70.00000
2024-10-14 16:52:38 UTC,887,22.60000,70.00000
2024-10-14 17:02:39 UTC,888,22.70000,70.00000
2024-10-14 17:12:40 UTC,889,22.70000,70.00000
2024-10-14 17:22:40 UTC,890,22.80000,70.00000
2024-10-14 17:32:41 UTC,891,22.80000,71.00000
2024-10-14 17:42:42 UTC,892,22.80000,71.00000
2024-10-14 17:52:43 UTC,893,22.80000,71.00000
2024-10-14 18:02:43 UTC,894,22.90000,71.00000
2024-10-14 18:12:44 UTC,895,22.90000,71.00000
2024-10-14 18:22:45 UTC,896,22.90000,71.00000
2024-10-14 18:32:45 UTC,897,22.90000,71.00000
2024-10-14 18:42:46 UTC,898,22.90000,71.00000
2024-10-14 18:52:47 UTC,899,23.00000,72.00000
2024-10-14 19:02:47 UTC,900,23.10000,73.00000
2024-10-14 19:12:48 UTC,901,23.20000,73.00000
2024-10-14 19:22:50 UTC,902,23.30000,74.00000
2024-10-14 19:32:51 UTC,903,23.30000,74.00000
2024-10-14 19:42:54 UTC,904,23.40000,74.00000
2024-10-14 19:52:55 UTC,905,23.40000,74.00000
2024-10-14 20:02:55 UTC,906,23.50000,74.00000
2024-10-14 20:12:56 UTC,907,23.50000,73.00000
2024-10-14 20:22:57 UTC,908,23.50000,73.00000
2024-10-14 20:32:57 UTC,909,23.50000,74.00000
2024-10-14 20:42:59 UTC,910,23.50000,74.00000
2024-10-14 20:53:00 UTC,911,23.50000,74.00000
2024-10-14 21:03:00 UTC,912,23.50000,74.00000
2024-10-14 21:13:01 UTC,913,23.50000,74.00000
2024-10-14 21:23:02 UTC,914,23.50000,74.00000
2024-10-14 21:33:02 UTC,915,23.50000,74.00000
2024-10-14 21:43:03 UTC,916,23.50000,73.00000
2024-10-14 21:53:04 UTC,917,23.50000,74.00000
2024-10-14 22:03:04 UTC,918,23.50000,73.00000
2024-10-14 22:13:05 UTC,919,23.50000,73.00000
2024-10-14 22:23:06 UTC,920,23.50000,73.00000
2024-10-14 22:33:07 UTC,921,23.50000,74.00000
2024-10-14 22:43:07 UTC,922,23.50000,74.00000
2024-10-14 22:53:08 UTC,923,23.50000,73.00000
2024-10-14 23:03:09 UTC,924,23.50000,73.00000
2024-10-14 23:13:09 UTC,925,23.50000,73.00000
2024-10-14 23:23:10 UTC,926,23.50000,73.00000
